id,category,title,subtitle,url,image_url,area,tags,cta_label,priority,status,start_date,end_date,is_sponsored,sponsor_name,utm_source,utm_medium,utm_campaign,notes,rating,is_open
ChIJgzKFE5L9jT4RmJ2jpr9uaXY1,Tours & Experiences,Al Mouj Sales & Experience Centre,Al Mouj Sales & Experience Centre,https://www.google.com/maps/place/?q=place_id:ChIJgzKFE5L9jT4RmJ2jpr9uaXY,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogcr5AEPoEDU8-4Mq4uaIbAPVvhZJ-q6--UF_yxaDCLyx3ih1YtIbiZ3kkOw420kYvg1n4kdI3lR2ssoGrLUWhdQY5Pq-3DxWO75iKcWBvpICZ1jMzN2RqZFUoEk_bxGhelPI=w900-h900-p-k-no,Muscat,mall;shopping;retail,Learn More,1,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJgzKFE5L9jT4RmJ2jpr9uaXY,Tours & Experiences,Al Mouj Sales & Experience Centre,Al Mouj Sales & Experience Centre,https://www.google.com/maps/place/?q=place_id:ChIJgzKFE5L9jT4RmJ2jpr9uaXY,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogcr5AEPoEDU8-4Mq4uaIbAPVvhZJ-q6--UF_yxaDCLyx3ih1YtIbiZ3kkOw420kYvg1n4kdI3lR2ssoGrLUWhdQY5Pq-3DxWO75iKcWBvpICZ1jMzN2RqZFUoEk_bxGhelPI=w900-h900-p-k-no,Muscat,mall;shopping;retail,Learn More,2,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJpRDV_Gb3kT4RZpjmkRwxxMk,Tours & Experiences,Extreme Tourqe Workshop (ETW) LLC,Extreme Tourqe Workshop (ETW) LLC,https://www.google.com/maps/place/?q=place_id:ChIJpRDV_Gb3kT4RZpjmkRwxxMk,https://cache.marriott.com/content/dam/marriott-renditions/MCTWH/mctwh-facade-5100-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=1336px:*,Muscat,garage;car repair;mechanic,Learn More,3,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJp1vlWxABjj4RtLTQESnIwvM,Tours & Experiences,Kyriad Muscat فندق كيرياد مسقط. Tourism License: L1932995,Kyriad Muscat فندق كيرياد مسقط. Tourism License: L1932995,https://muscat.kyriad.com/,https://cache.marriott.com/content/dam/marriott-renditions/MCTWH/mctwh-facade-5100-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=1336px:*,Muscat,hotel;lodging,Learn More,4,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJ_TGT0xn_kT4RGMtB_F5YNsM1,Tours & Experiences,Lamasat Experience LLC,Lamasat Experience LLC,https://lamasatexperience.com/,https://cache.marriott.com/content/dam/marriott-renditions/MCTWH/mctwh-facade-5100-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=1336px:*,Muscat,home repair;maintenance;services,Learn More,5,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJ_TGT0xn_kT4RGMtB_F5YNsM,Tours & Experiences,Lamasat Experience LLC,Lamasat Experience LLC,https://lamasatexperience.com/,https://cache.marriott.com/content/dam/marriott-renditions/MCTWH/mctwh-facade-5100-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=1336px:*,Muscat,home repair;maintenance;services,Learn More,6,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJKRXFQgD_kT4RCQozSx8a66c,Events and Venues,A2Z Events,A2Z Events,http://www.a2zeventoman.com/,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958649.jpg,Muscat,events;event planner;wedding;corporate,Learn More,1,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJ5f_cGS39jT4R5JTS083uJj0,Events and Venues,AS Gallery,AS Gallery,https://instagram.com/as.gallery.om?igshid=MWI4MTIyMDE=,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958649.jpg,Muscat,events;event planner;wedding;corporate,Learn More,2,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJlwaw0JLljT4RbDvTCsuBkhA,Events and Venues,Abu Sara Events Planner,Abu Sara Events Planner,https://www.google.com/maps/place/?q=place_id:ChIJlwaw0JLljT4RbDvTCsuBkhA,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5PSooWMW3C5W68fyMKSR8A&cb_client=search.gws-prod.gps&w=900&h=900&yaw=314.76572&pitch=0&thumbfov=100,Muscat,events;event planner;wedding;corporate,Learn More,3,live,,,FALSE,,,,,notes,9.4,TRUE
ChIJAyZx7dr_kT4RjVmRSqyl9t8,Events and Venues,Al Amri tent wedding service,Al Amri tent wedding service,https://www.google.com/maps/place/?q=place_id:ChIJAyZx7dr_kT4RjVmRSqyl9t8,https://lh3.googleusercontent.com/p/AF1QipN3TnUjoEXMMZMknJSBJ1u5Lz0TI0OoyXaqgkfT=w900-h900-p-k-no,Muscat,events;event planner;wedding;corporate,Learn More,4,live,,,FALSE,,,,,notes,9.4,TRUE
