id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,catering_types,per_person_price_range,min_order,tastings_available,delivery_fee,equipment_rental,menu_url,packages_url,inquiry_url,corporate_catering,wedding_catering,private_events,live_stations,buffet,delivery_available,setup_included,service_area,min_order_currency,min_order_amount,per_person_currency,per_person_min,per_person_max
ChIJd_7ialH_kT4RLfvWJDrMe5s,a2z-light,A2Z LIGHT اضاءات,Catering Services,,catering;events;food service,,"18th November St, Muscat 130, Oman",Muscat,Oman,23.602488,58.368294,https://www.google.com/maps/place/?q=place_id:ChIJd_7ialH_kT4RLfvWJDrMe5s,https://a2zlight.com/,,https://a2zlight.com/,https://a2zlight.com/wp-content/uploads/2024/11/Asset-3.svg,https://a2zlight.com/wp-content/uploads/2024/11/slide-1-5.png,,,,,,شركة رائدة في مجال الإضاءة. نفتخر بخبرة فريقنا التي تمتد لأكثر من 15 عاماً في سلطنة عمان.,,,,,,4.8,,,,,,71,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJc0oQ29D5kT4RBJArybmBeoc,aa-group,AA Group,Catering Services,,catering;events;food service,,"HGXX+F35, Muscat 112, Oman",Muscat,Oman,23.598636,58.547721,https://www.google.com/maps/place/?q=place_id:ChIJc0oQ29D5kT4RBJArybmBeoc,http://www.aaoman.com.om/,+968 24 769800,http://www.aaoman.com.om/,https://www.aaoman.com.om/files/images/favicon.ico,https://www.aaoman.com.om/uploads/5e3a5852ca244.jpg,,,,,,,,,corporate,,,4.1,,,,,,46,Google,,10/4/2025,,,,,,,,,https://www.aaoman.com.om/contactus.html,Yes,,,,,,,,,,,,
ChIJx6NFQwPjjT4RoRCRDSFIAiA,abraj-phones,ABRAJ PHONES,Catering Services,,catering;events;food service,,"Al Khoudh St, Sib 131, Oman",Muscat,Oman,23.595769,58.154921,https://www.google.com/maps/place/?q=place_id:ChIJx6NFQwPjjT4RoRCRDSFIAiA,https://www.google.com/maps/place/?q=place_id:ChIJx6NFQwPjjT4RoRCRDSFIAiA,+968 7725 1551,https://www.google.com/maps/place/?q=place_id:ChIJx6NFQwPjjT4RoRCRDSFIAiA,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://maps.google.com/maps/api/staticmap?center=23.595769%2C58.1549214&zoom=16&size=900x900&language=en&markers=23.595769%2C58.1549214&sensor=false&client=google-maps-frontend&signature=rDK5thlDGwE2TxCFnwj6ScoCscQ,,,,,Mobile caterer,Mobile caterer,,,,,,,,,,,,,,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJYyQMv5P5kT4RFzr1Eotzt_Y,adada-restaurant-cafe,ADADA Restaurant & Cafe,Catering Services,,catering;events;food service,,"Shop No. 1, Building No. 136, Way No. 37, Muscat 112, Oman",Muscat,Oman,23.590513,58.546293,https://www.google.com/maps/place/?q=place_id:ChIJYyQMv5P5kT4RFzr1Eotzt_Y,https://www.google.com/maps/place/?q=place_id:ChIJYyQMv5P5kT4RFzr1Eotzt_Y,+968 9667 4773,https://www.google.com/maps/place/?q=place_id:ChIJYyQMv5P5kT4RFzr1Eotzt_Y,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/p/AF1QipMT2txfLODiy4OUCgQhhFuMYUJPRQgkIshGGjKL=w900-h900-p-k-no,,,,,★★★★☆ · Restaurant,★★★★☆ · Restaurant,,,,,,4.2,,,,,,143,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJcZbN-R7njT4RDm65YNQXOzM,abu-fajar-mobile,Abu Fajar Mobile,Catering Services,,catering;events;food service,,"Ma'abilah Industrial Area, Ma'abilah 122, Oman",Muscat,Oman,23.649102,58.094062,https://www.google.com/maps/place/?q=place_id:ChIJcZbN-R7njT4RDm65YNQXOzM,https://www.google.com/maps/place/?q=place_id:ChIJcZbN-R7njT4RDm65YNQXOzM,+968 9419 6929,https://www.google.com/maps/place/?q=place_id:ChIJcZbN-R7njT4RDm65YNQXOzM,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gCJLG5qZs2df7ETe0_Tm_g&cb_client=search.gws-prod.gps&w=900&h=900&yaw=252.20258&pitch=0&thumbfov=100,,,,,Mobile caterer,Mobile caterer,,,,,,,,,,,,,,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJue9VhU8Ajj4RlF3eb61LsAs,al-athnain-company,Al Athnain Company شركة الإثنين,Catering Services,,catering;events;food service,,"Muscat, Oman",Muscat,Oman,23.570335,58.339682,https://www.google.com/maps/place/?q=place_id:ChIJue9VhU8Ajj4RlF3eb61LsAs,http://www.alathnaincatering.com/,+968 24 503173,http://www.alathnaincatering.com/,https://www.alathnaincatering.com/frontend/web/images/favicon.png,https://www.alathnaincatering.com/uploads/service/1-1153953.png,,,,,Al Athnain Co,"Al Athnain Co Our professional catering team dedicated on Omani, Arabic, Indian, Chinese and Continental cuisine to satisfy all kind of taste buds.",,,corporate,Arabic;Indian;Omani,,4.1,,,,,,125,Google,,10/4/2025,,,,,,,,,https://www.alathnaincatering.com/contact-us,Yes,,,,,,,,,,,,
ChIJV_PP1iUAjj4RW5wnelIk10E,al-jarwani-hospitality,Al Jarwani Hospitality الجرواني للضيافة,Catering Services,,catering;events;food service,,"H9H8+H56, Ghala As Sinaiyyah St, Muscat 436, Oman",Muscat,Oman,23.578907,58.365395,https://www.google.com/maps/place/?q=place_id:ChIJV_PP1iUAjj4RW5wnelIk10E,https://www.google.com/maps/place/?q=place_id:ChIJV_PP1iUAjj4RW5wnelIk10E,+968 22 082270,https://www.google.com/maps/place/?q=place_id:ChIJV_PP1iUAjj4RW5wnelIk10E,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npjtOa8BYW13xiKolvrk90oa1jzkKNOzWgdmW1339aVZzSMCDwAbAK9jFWnX7muzPagJTE3s-93pf_OHP4D9Kch6tOxAWxsZzsKdtBL6X94klACQq3ku_7oaAdwiYR1rhgcHsoo=w900-h900-p-k-no,,,,,★★★★☆ · Caterer,★★★★☆ · Caterer,,,,,,3.6,,,,,,83,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJd8qkSHH9jT4RmUx1n_cbjMw,al-jood-restaurant-al-hail,Al Jood Restaurant Al Hail مطعم الجود اللبناني الحيل,Catering Services,,catering;events;food service,,"Al Kharais St, Sib, Oman",Muscat,Oman,23.627206,58.247098,https://www.google.com/maps/place/?q=place_id:ChIJd8qkSHH9jT4RmUx1n_cbjMw,https://www.google.com/maps/place/?q=place_id:ChIJd8qkSHH9jT4RmUx1n_cbjMw,+968 9515 1461,https://www.google.com/maps/place/?q=place_id:ChIJd8qkSHH9jT4RmUx1n_cbjMw,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq0DW_QedYSsmjydZ22HHRgbzrWJNSAK9F8sFm4hgROjo40_hBELvH3ru6niZX2KHZgHosGJeWI718dZzuftTcCWHtswZ7YmBpH6ZIeJcA1w0auSzTkhqaZgBcw6a4dJK4NTI-vbYRzP0v4=w900-h900-p-k-no,,,,,★★★★★ · Lebanese restaurant,★★★★★ · Lebanese restaurant,$$,,,,,4.6,,,,,,2515,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJDU_4zcP5kT4RCivtd5q0ro0,al-mawada-various-food,Al Mawada Various Food,Catering Services,,catering;events;food service,,"HGPQ+M5W, Muscat, Oman",Muscat,Oman,23.586739,58.537955,https://www.google.com/maps/place/?q=place_id:ChIJDU_4zcP5kT4RCivtd5q0ro0,https://www.google.com/maps/place/?q=place_id:ChIJDU_4zcP5kT4RCivtd5q0ro0,+968 9888 1224,https://www.google.com/maps/place/?q=place_id:ChIJDU_4zcP5kT4RCivtd5q0ro0,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqhB-8wf8NNvzVX30u8gF4FKZ6ATCOasfJT5nxi63UybyxHrojL3J6XZrtEbqT63i53ukWy2MRacFjd-2_JJGRoRnHg0Tp27Yps-T7oBiTKkn1g1qRO41L9unSy0ZbtOvsV-Ar8=w900-h900-p-k-no,,,,,★★★★★ · Caterer,★★★★★ · Caterer,,,,,,5,,,,,,2,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJvcCgUUoAjj4R7TGu-nEb-1k,al-nab-a-supplies-and-catering-services-l-l-c,Al Nab'a Supplies and Catering Services L.L.C. النبع للإمداد و التموين,Catering Services,,catering;events;food service,,"H88W+3JM, Muscat, Oman",Muscat,Oman,23.565212,58.346542,https://www.google.com/maps/place/?q=place_id:ChIJvcCgUUoAjj4R7TGu-nEb-1k,https://www.google.com/maps/place/?q=place_id:ChIJvcCgUUoAjj4R7TGu-nEb-1k,+968 24 629995,https://www.google.com/maps/place/?q=place_id:ChIJvcCgUUoAjj4R7TGu-nEb-1k,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFFESUsC2Ax10bhPJ6EXGB9DpiVeQ0TYozz4HQRLiDqjOeJDJ642X7PzEr61tcZVsm9Km3ZTuBp0w0mL3q3UnFmebJknLpJvPgF7EOa4pmzVKOkHGf2Pa2X21iE9GeiQf8zLsztA=w900-h900-p-k-no,,,,,★★★★☆ · Corporate office,★★★★☆ · Corporate office,,,,,,4,,,,,,82,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJ9W9xfQABjj4RBS9p_0iDYy4,amoun,Amoun,Catering Services,,catering;events;food service,,"Ghala Heights Complex, Al Maardih St, Muscat 111, Oman",Muscat,Oman,23.588166,58.359526,https://www.google.com/maps/place/?q=place_id:ChIJ9W9xfQABjj4RBS9p_0iDYy4,https://movenpick.accor.com/en/middle-east/oman/muscat/hotel-and-apartments-ghala-muscat/restaurants/amoun.html,+968 22 719999,https://movenpick.accor.com/en/middle-east/oman/muscat/hotel-and-apartments-ghala-muscat/restaurants/amoun.html,https://movenpick.accor.com/etc.clientlibs/movenpick/clientlibs/clientlib-mov/resources/images/favicon.ico,https://m.ahstatic.com/is/image/accorhotels/aja_p_7107-16,,,,,"Discover Amoun restaurant at Mӧvenpick Hotel & Apartments Ghala Muscat, our all-day, casual dining restaurant in Muscat. Reserve a table.","Discover Amoun restaurant at Mӧvenpick Hotel & Apartments Ghala Muscat, our all-day, casual dining restaurant in Muscat. Reserve a table. Haven to casual diners, Amoun is our all-day dining restaurant in Muscat, captivating the senses of sight, feel and taste while providing a core experience of Oman.",,,,Italian,,5,,,,,,14,Google,,10/4/2025,,,,,,,https://app.fetchmyorder.com/730/2,,https://all.accor.com/account/index.en.shtml?partner_id=movenpick#/my-bookings,,,,,,,,,,,,,
ChIJqzTrukn_kT4RUxwKhCZlbLU,away,Away,Catering Services,,catering;events;food service,,"Level، Souq Al Madina، Muscat 115, Oman",Muscat,Oman,23.599954,58.455048,https://www.google.com/maps/place/?q=place_id:ChIJqzTrukn_kT4RUxwKhCZlbLU,https://www.instagram.com/away.om?igsh=ZGNjOWZkYTE3MQ==,+968 9197 8838,https://www.instagram.com/away.om?igsh=ZGNjOWZkYTE3MQ==,https://static.cdninstagram.com/rsrc.php/v4/yI/r/VsNE-OHk_8a.png,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/449755570_3859238790971325_2294477871424874517_n.jpg?stp=dst-jpg_s100x100_tt6&_nc_cat=108&ccb=7-5&_nc_sid=bf7eb4&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=XsPV9Zklz1gQ7kNvwFHzaMy&_nc_oc=AdkOtE3ov0Bv-CSyQJ8TIW3JVyR9A_-igaY6CSsKVfBubdJPVLQdhYayqxa2G8g03cA&_nc_zt=24&_nc_ht=scontent-iad3-1.cdninstagram.com&oh=00_AfcXjEwKvG3FKjQmhVlrXW7db4LLfxSEIy0f_z8ggtGhbQ&oe=68E73C39,,,,,"47K Followers, 63 Following, 62 Posts - Away | Caterers | Restaurateurs (@away.om) on Instagram: ""‎Delivery Around Muscat التوصيل حول مسقط 🕰️ 7:30 AM - 10 PM | ☎️ 91978838 👇🏼Online Delivery 🚘‎""","47K Followers, 63 Following, 62 Posts - Away | Caterers | Restaurateurs (@away.om) on Instagram: ""‎Delivery Around Muscat التوصيل حول مسقط 🕰️ 7:30 AM - 10 PM | ☎️ 91978838 👇🏼Online Delivery 🚘‎""",,,,,,3.9,,,,,,295,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJTUS-BfH_kT4RCGWgPH71pVE,axis-events,Axis events,Catering Services,,catering;events;food service,,"Villa 9, building number 1785, way number 1526, Madinat 112, Oman",Muscat,Oman,23.608136,58.465864,https://www.google.com/maps/place/?q=place_id:ChIJTUS-BfH_kT4RCGWgPH71pVE,https://www.axisoman.com/,+968 9987 8414,https://www.axisoman.com/,https://axisoman.com/wp-content/uploads/2025/02/cropped-cropped-axis-events-logo-512x512-icon-1-32x32.png,https://axisoman.com/wp-content/uploads/2025/02/cropped-axis-event-logo.png,,,,,,"Transforming ideas into Extraordinary Events with Innovation, Expertise, and Flawless Execution.",,,setup included;corporate,,,5,,,,,,6,Google,,10/4/2025,,,,,,,https://axisoman.com/,,,Yes,,,,,,Yes,,,,,,
ChIJbaary7P_kT4RHFJf0N1sCZc,ayko,Ayko,Catering Services,,catering;events;food service,,"شارع ١٨ نوفمبر ٣، مسقط،،, مسقط، Oman",Muscat,Oman,23.59959,58.380874,https://www.google.com/maps/place/?q=place_id:ChIJbaary7P_kT4RHFJf0N1sCZc,https://www.google.com/maps/place/?q=place_id:ChIJbaary7P_kT4RHFJf0N1sCZc,,https://www.google.com/maps/place/?q=place_id:ChIJbaary7P_kT4RHFJf0N1sCZc,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrj1ECBBGXfP-9xnom02ZxRFQatey9NdyDShq7narAPVoMBt0EiB0ycKKj4BO7Q7Av0bwnmYgn1NV9GYA3jioPnsP2FSVWXZw5XodyXgJ1ISI_j8d1UGHwOwvugp0sMFtdURO8=w900-h900-p-k-no,,,,,★★★★☆ · Mobile caterer,★★★★☆ · Mobile caterer,,,,,,4,,,,,,1,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJ64KASKv_kT4RLBUKtsXXMLE,azayem-catering-events,Azayem Catering & Events عزايم لتموين المناسبات,Catering Services,,catering;events;food service,,"HCG7+X5J, Muscat, Oman",Muscat,Oman,23.577468,58.412886,https://www.google.com/maps/place/?q=place_id:ChIJ64KASKv_kT4RLBUKtsXXMLE,https://www.google.com/maps/place/?q=place_id:ChIJ64KASKv_kT4RLBUKtsXXMLE,+968 9211 7125,https://www.google.com/maps/place/?q=place_id:ChIJ64KASKv_kT4RLBUKtsXXMLE,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF2HhthyYWcneIKgcAOtQsd59mBvICbT0M3SxfhXvtVj3vQ5YOmYL0p55gn2OTm10rCBE6uSdOGz9v5HAhSE3KnPXUEodiegfwgmAL3WFX8eZuzidot_g_nzXgZCOBqB3PSr2ZneISupRCPa3dCR5dPRoIL6fVkHCnCu93CPTv3izEITr0b0Q9NIg=w900-h900-p-k-no,,,,,★★★★☆ · Restaurant,★★★★☆ · Restaurant,,,,,,4,,,,,,25,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJNb_eDun8jT4ReEZpAPiVANA,azima-catering,Azima Catering,Catering Services,,catering;events;food service,,J6J8+QCP، السيب‎، Oman,Muscat,Oman,23.631959,58.216083,https://www.google.com/maps/place/?q=place_id:ChIJNb_eDun8jT4ReEZpAPiVANA,https://www.google.com/maps/place/?q=place_id:ChIJNb_eDun8jT4ReEZpAPiVANA,+968 9901 8258,https://www.google.com/maps/place/?q=place_id:ChIJNb_eDun8jT4ReEZpAPiVANA,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrhwTQ-xxwGBpH-HRfQidf6CIsKMjzgbp3Y0__ekCzC9zbHETNkg4I1A2gpcxtACZ58Sez5m71Y7k1-V6je0rkSa_QN6qJ75pM1Te6u0oO8PIvMljRvgvLyp4luDCj0FA-lkdMj=w900-h900-p-k-no,,,,,★★★★★ · Wedding buffet,★★★★★ · Wedding buffet,,,,,,4.7,,,,,,76,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJq6Q-gSb9jT4Rcoog5XSXb9Y,azzam-kitchen-catering,Azzam Kitchen & Catering,Catering Services,,catering;events;food service,,"Al Hail South, Seeb 110, Oman",Muscat,Oman,23.626779,58.219504,https://www.google.com/maps/place/?q=place_id:ChIJq6Q-gSb9jT4Rcoog5XSXb9Y,https://www.google.com/maps/place/?q=place_id:ChIJq6Q-gSb9jT4Rcoog5XSXb9Y,+968 9487 6536,https://www.google.com/maps/place/?q=place_id:ChIJq6Q-gSb9jT4Rcoog5XSXb9Y,https://www.google.com/images/branding/product/ico/maps15_bnuw3a_32dp.ico,https://lh3.googleusercontent.com/p/AF1QipNmUx__8DZNFleGCaSMiU7TF5zS7-a2tEw6e-5j=w900-h900-p-k-no,,,,,★★★★★ · Restaurant,★★★★★ · Restaurant,,,,,,5,,,,,,2,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJC6xihFn5kT4RR1Su-WOE87g,ba-ban,Ba Ban,Catering Services,,catering;events;food service,,"Oman, Muscat, Al Kharjiya Street103",Muscat,Oman,23.617809,58.466274,https://www.google.com/maps/place/?q=place_id:ChIJC6xihFn5kT4RR1Su-WOE87g,https://www.marriott.com/hotels/travel/mctwh-w-muscat/,+968 7191 9122,https://www.marriott.com/hotels/travel/mctwh-w-muscat/,,https://www.omanobserver.om/omanobserver/uploads/images/2024/06/25/2701550.jpg,,,,,,,,,,,,4.5,,,,,,154,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,
ChIJX_4ToLf_kT4RUL77A8YH23I,bait-al-sahwa-trading-ent,Bait Al Sahwa Trading Ent. بيت الصحوة للتجارة,Catering Services,,catering;events;food service,,"Muscat, Oman",Muscat,Oman,23.587487,58.371094,https://www.google.com/maps/place/?q=place_id:ChIJX_4ToLf_kT4RUL77A8YH23I,http://www.baitalsahwa.com/,+968 24 590388,http://www.baitalsahwa.com/,http://www.baitalsahwa.com/wp-content/uploads/2017/02/final.png,http://www.baitalsahwa.com/wp-content/uploads/2017/02/banner2.jpg,,,,,BeTea | Best WordPress theme for tea lovers,"BeTea | Best WordPress theme for tea lovers Established in 1999, Bait Al Sahwa Catering & Services has established itself as one of the renowned quality providers of catering and support services to a cross section of clientele including construction & contracting, oil and gas, mining, hospitals and educational institutions. The Company provides sustainable services directly to the clients, including a comprehensive, support network spanning the length and breadth of the Sultanate of Oman.",,,private events,,,5,,,,,,9,Google,,10/4/2025,,,,,,,,,http://www.baitalsahwa.com/contact-us/,,,Yes,,,,,,,,,,
