id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,specialties,services,doctors,insurance_accepted,appointment_url,emergency_hours,accreditation,languages,whatsapp,booking_url,whatsapp_url,patient_portal_url,telemedicine,emergency,pharmacy,lab_services,radiology,wheelchair_access,parking,female_doctors
ChIJSXtdEwD9jT4ROeTHIHhLkxg,2-number,2 number,Clinics,,clinic;healthcare;doctor,,"M633+9JP Seeb Park, 1, السيب‎، Oman",Muscat,Oman,23.653423,58.203449,https://www.google.com/maps/place/?q=place_id:ChIJSXtdEwD9jT4ROeTHIHhLkxg,https://www.google.com/maps/place/?q=place_id:ChIJSXtdEwD9jT4ROeTHIHhLkxg,,https://www.google.com/maps/place/?q=place_id:ChIJSXtdEwD9jT4ROeTHIHhLkxg,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QzjCXkeayJQAWaux6iskXw&cb_client=search.gws-prod.gps&w=900&h=900&yaw=239.86069&pitch=0&thumbfov=100,,,,,Family practice physician,Family practice physician,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJyehcTw7_kT4R6LS6TA5CqUA,al-amal-medical-health-care-centre-visa-medical-centre,Al Amal Medical & Health care Centre مركز الامل للرعاية الصحية والطبية | Visa Medical Centre,Clinics,,clinic;healthcare;doctor,,"Al Alam St, Muscat, Oman",Muscat,Oman,23.594053,58.426851,https://www.google.com/maps/place/?q=place_id:ChIJyehcTw7_kT4R6LS6TA5CqUA,http://www.alamalhealthcare.com/,+968 9320 5023,http://www.alamalhealthcare.com/,https://www.google.com/s2/favicons?domain=www.alamalhealthcare.com&sz=128,https://alamalhealthcare.com/wp-content/uploads/2025/02/landing-1-67ba8d210840a.webp,,,,,Emergency? Call +(968) 24485822 Welcome to Al Amal Medical Services Select your experience to continue Al Amal Medical Comprehensive and trusted healthcare services for everyone. Al Amal Plus…,Emergency? Call +(968) 24485822 Welcome to Al Amal Medical Services Select your experience to continue Al Amal Medical Comprehensive and trusted healthcare services for everyone. Al Amal Plus Exclusive and premium medical care with personalized services. Not sure which service to choose? Get support!,,,24h/emergency;specialties: Ent,,,3.50,,,,,,67,Google,,2025-10-04,Ent,,,,,,,,,,,,,Yes,,,,,,
ChIJ83Dpcrn8jT4R9ksoScHxtlc,al-amal-medical-centre-al-khoud,"Al Amal Medical Centre, Al khoud",Clinics,,clinic;healthcare;doctor,,"شارع الخوض، Sib, Oman",Muscat,Oman,23.640329,58.204858,https://www.google.com/maps/place/?q=place_id:ChIJ83Dpcrn8jT4R9ksoScHxtlc,http://www.alamalhealthcare.com/,+968 24 543070,http://www.alamalhealthcare.com/,https://www.google.com/s2/favicons?domain=www.alamalhealthcare.com&sz=128,https://alamalhealthcare.com/wp-content/uploads/2025/02/landing-1-67ba8d210840a.webp,,,,,Emergency? Call +(968) 24485822 Welcome to Al Amal Medical Services Select your experience to continue Al Amal Medical Comprehensive and trusted healthcare services for everyone. Al Amal Plus…,Emergency? Call +(968) 24485822 Welcome to Al Amal Medical Services Select your experience to continue Al Amal Medical Comprehensive and trusted healthcare services for everyone. Al Amal Plus Exclusive and premium medical care with personalized services. Not sure which service to choose? Get support!,,,24h/emergency;specialties: Ent,,,3.80,,,,,,18,Google,,2025-10-04,Ent,,,,,,,,,,,,,Yes,,,,,,
ChIJ_cbwd9_5kT4R8NnLYREZJlg,al-amal-medical-centre-ruwi,Al Amal Medical Centre-Ruwi,Clinics,,clinic;healthcare;doctor,,"Way 3508, Muscat, Oman",Muscat,Oman,23.589910,58.553608,https://www.google.com/maps/place/?q=place_id:ChIJ_cbwd9_5kT4R8NnLYREZJlg,http://www.alamalhealthcare.com/,+968 24 811519,http://www.alamalhealthcare.com/,https://www.google.com/s2/favicons?domain=www.alamalhealthcare.com&sz=128,https://alamalhealthcare.com/wp-content/uploads/2025/02/landing-1-67ba8d210840a.webp,,,,,Emergency? Call +(968) 24485822 Welcome to Al Amal Medical Services Select your experience to continue Al Amal Medical Comprehensive and trusted healthcare services for everyone. Al Amal Plus…,Emergency? Call +(968) 24485822 Welcome to Al Amal Medical Services Select your experience to continue Al Amal Medical Comprehensive and trusted healthcare services for everyone. Al Amal Plus Exclusive and premium medical care with personalized services. Not sure which service to choose? Get support!,,,24h/emergency;specialties: Ent,,,4.40,,,,,,13,Google,,2025-10-04,Ent,,,,,,,,,,,,,Yes,,,,,,
ChIJeYY28uXljT4RphCjqkVJ2_A,al-manasir-skin-clinic-seeb,"Al Manasir Skin Clinic, Seeb",Clinics,,clinic;healthcare;doctor,,"Police Centre, Sib, Oman",Muscat,Oman,23.682654,58.178122,https://www.google.com/maps/place/?q=place_id:ChIJeYY28uXljT4RphCjqkVJ2_A,https://www.google.com/maps/place/?q=place_id:ChIJeYY28uXljT4RphCjqkVJ2_A,+968 9908 8391,https://www.google.com/maps/place/?q=place_id:ChIJeYY28uXljT4RphCjqkVJ2_A,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipMo7VBSW5jXxwXuk4qRSWTdBTLFgGqZUdXoswvO=w900-h900-p-k-no,,,,,★★★★★ · Dermatologist,★★★★★ · Dermatologist,,,,,,4.80,,,,,,25,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJGbXcvWT5kT4RvWdi68t5Jn4,al-shafi-dawakhana-sale-of-natural-herbal,Al Shafi Dawakhana Sale of Natural Herbal,Clinics,,clinic;healthcare;doctor,,"Souq Ruwi St, Muscat, Oman",Muscat,Oman,23.584733,58.540453,https://www.google.com/maps/place/?q=place_id:ChIJGbXcvWT5kT4RvWdi68t5Jn4,https://mehrb.com/,+968 9430 5566,https://mehrb.com/,https://www.google.com/s2/favicons?domain=mehrb.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958648.jpg,,,,,,,,,,,,3.50,,,,,,10,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJLbcM5Dv_kT4RUid8SD0dgO0,al-tabeeb-specialist-centre-msq,Al Tabeeb Specialist Centre MSQ مركز الطبيب التخصصي مدينة السلطان قابوس,Clinics,,clinic;healthcare;doctor,,"Al Inshirah St, Muscat, Oman",Muscat,Oman,23.600041,58.446672,https://www.google.com/maps/place/?q=place_id:ChIJLbcM5Dv_kT4RUid8SD0dgO0,http://www.altabeebcentre.com/,+968 24 699515,http://www.altabeebcentre.com/,https://www.google.com/s2/favicons?domain=www.altabeebcentre.com&sz=128,https://altabeebcentre.com/wp-content/uploads/2020/03/signature-320x159.png,,,,,,"My family trusts Dr. Samer completely, he’s been with us for years and has helped us on numerous occasions",,,wheelchair access;specialties: Aesthetics;Cosmetic;Dental;Dentistry;Ent;Gynecology;Orthodontics,,,4.40,,,,,,331,Google,,2025-10-04,Aesthetics;Cosmetic;Dental;Dentistry;Ent;Gynecology;Orthodontics,,,Yes,,,,,,https://altabeebcentre.com/en/,,,,,,,,Yes,,
ChIJf7HQWQD_kT4Rfc69XSggQus,al-khy,Al khy,Clinics,,clinic;healthcare;doctor,,"HCQF+F35, 4104 Way, Muscat, Oman",Muscat,Oman,23.588590,58.422676,https://www.google.com/maps/place/?q=place_id:ChIJf7HQWQD_kT4Rfc69XSggQus,https://www.google.com/maps/place/?q=place_id:ChIJf7HQWQD_kT4Rfc69XSggQus,,https://www.google.com/maps/place/?q=place_id:ChIJf7HQWQD_kT4Rfc69XSggQus,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbt7K6iEP7p8dehA3fkW0TP3MZLXlMLLCit9dmQuRUJbE2cLn2Wqtk12oQAv36B-Qdkm7AY9nX-cSGFiW1E01yHZSBZrsyTlyHtR8VCIKL39r1HKU1n3Y3TwmEdVCboGbc-j3jTNJaWWuu=w900-h900-p-k-no,,,,,★★★★★ · Family practice physician,★★★★★ · Family practice physician,,,,,,5.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJAT3oMp39jT4Rppddgb_Otm0,alila-clinic,AlilA Clinic,Clinics,,clinic;healthcare;doctor,,"2719 Way, Sib, Oman",Muscat,Oman,23.627154,58.219346,https://www.google.com/maps/place/?q=place_id:ChIJAT3oMp39jT4Rppddgb_Otm0,https://heylink.me/Alilaclinic,+968 21 038250,https://heylink.me/Alilaclinic,https://www.google.com/s2/favicons?domain=heylink.me&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958648.jpg,,,,,,,,,,,,4.60,,,,,,194,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
ChIJVeRYYBoBjj4RyYs49BG_Pzs,alturki-clinic-medical-checkup,Alturki Clinic (Medical Checkup) عيادة التركي,Clinics,,clinic;healthcare;doctor,,"Muscat, Oman",Muscat,Oman,23.576912,58.362731,https://www.google.com/maps/place/?q=place_id:ChIJVeRYYBoBjj4RyYs49BG_Pzs,https://www.google.com/maps/place/?q=place_id:ChIJVeRYYBoBjj4RyYs49BG_Pzs,,https://www.google.com/maps/place/?q=place_id:ChIJVeRYYBoBjj4RyYs49BG_Pzs,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://maps.google.com/maps/api/staticmap?center=23.5769116%2C58.3627313&zoom=16&size=900x900&language=en&markers=23.5769116%2C58.3627313&sensor=false&client=google-maps-frontend&signature=1-mT-CTnHZc2n0nxP__BMZAiUxk,,,,,★★★★☆ · Doctor,★★★★☆ · Doctor,,,,,,4.00,,,,,,3,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,
