id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,services,brands_serviced,emergency_assist,warranty,pickup_dropoff,estimated_rate_note,services_url,booking_url,whatsapp_url,towing,roadside_assistance,oil_change,battery,tires,wheel_alignment,ac_service,electrical,transmission,body_shop,paint,detailing,wash,brand_specialist,dealership,open_24h,emergency_phone
ChIJRSH9DVX3kT4R1C3ga8qcPzE,alzakwani-auto-tech,ALZakwani Auto Tech,Garages,,garage;car repair;mechanic,,"HHP4+P3H, Muscat, Oman",Muscat,Oman,23.586813,58.555271,https://www.google.com/maps/place/?q=place_id:ChIJRSH9DVX3kT4R1C3ga8qcPzE,https://www.google.com/maps/place/?q=place_id:ChIJRSH9DVX3kT4R1C3ga8qcPzE,+968 9902 0061,https://www.google.com/maps/place/?q=place_id:ChIJRSH9DVX3kT4R1C3ga8qcPzE,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqePvHvIljjvmCuJpZgjInv2zE9ePAy81ic1HOZJjaGTngH5hX7N1AWxOmX2w59hWzl8ZCJKu-7RdjCrOrvRLGhlusRA7A49KJ8TAt7FV5ylndPuMeuNbfkQ3zDohvZhRhRSX4=w900-h900-p-k-no,,,,,★★★★★ · Car repair and maintenance service,★★★★★ · Car repair and maintenance service,,,,,,4.50,,,,,,4,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJDZkNtp3_kT4Rz9zp2V21REQ,ashraf-auto-electrician,ASHRAF AUTO ELECTRICIAN,Garages,,garage;car repair;mechanic,,"Way no 4029, شارع الغبرة، مسقط 130, Oman",Muscat,Oman,23.584072,58.400357,https://www.google.com/maps/place/?q=place_id:ChIJDZkNtp3_kT4Rz9zp2V21REQ,https://www.google.com/maps/place/?q=place_id:ChIJDZkNtp3_kT4Rz9zp2V21REQ,+968 9244 1462,https://www.google.com/maps/place/?q=place_id:ChIJDZkNtp3_kT4Rz9zp2V21REQ,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipO2Nd1Y0RI7JKfatRjb9cEX90UdtIieQ8XtiF0t=w900-h900-p-k-no,,,,,★★★★★ · Auto electrical service,★★★★★ · Auto electrical service,,,,,,4.50,,,,,,10,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJPy_oi_3_kT4RBnKXHxdIgCA,abu-juhaifa-llc,Abu Juhaifa LLC,Garages,,garage;car repair;mechanic,,"Ghala As Sinaiyyah St, Muscat, Oman",Muscat,Oman,23.574223,58.374025,https://www.google.com/maps/place/?q=place_id:ChIJPy_oi_3_kT4RBnKXHxdIgCA,https://www.google.com/maps/place/?q=place_id:ChIJPy_oi_3_kT4RBnKXHxdIgCA,+968 7824 8676,https://www.google.com/maps/place/?q=place_id:ChIJPy_oi_3_kT4RBnKXHxdIgCA,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXPzi-tJY_zPJPKka_ipXcKSo5NOkPZBYVWegQq5jzBkI4GgI4cZrQ20m_NRhjNf-T6brOnQVQYIOqcxx-WxwzyP7R7Z9hNIvHpXJNxuvROfe0vxVKsZ3cz_8UTjnLCdqbbt_OuA=w900-h900-p-k-no,,,,,★★★★★ · Car repair and maintenance service,★★★★★ · Car repair and maintenance service,,,,,,4.90,,,,,,8,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJV-4BAQD3kT4RnoN1pScSO0I,abu-sama-sale-of-tyres,Abu sama sale of tyres,Garages,,garage;car repair;mechanic,,"HHW7+QJ9, Muscat, Oman",Muscat,Oman,23.596845,58.563942,https://www.google.com/maps/place/?q=place_id:ChIJV-4BAQD3kT4RnoN1pScSO0I,https://www.google.com/maps/place/?q=place_id:ChIJV-4BAQD3kT4RnoN1pScSO0I,+968 9023 4210,https://www.google.com/maps/place/?q=place_id:ChIJV-4BAQD3kT4RnoN1pScSO0I,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noWYmIJAVzYjkBm9LW-bhCxOiXr_7KzjbAewAg2hashchW35kqBId707cOe6b3hTywly73JW-dvPSZHAnLf1LLrfsrOdoKAQJQUmBcxnAq61ISgewkf3pmc2g6VYMjtPc9x54HyxbQ7O4oE=w900-h900-p-k-no,,,,,Auto repair shop,Auto repair shop,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJw8_2cQD3kT4RNF6oSdF6uW8,advanced-performance-llc,Advanced Performance LLC الاداء المتقدم ش م م,Garages,,garage;car repair;mechanic,,"HHQF+FP7, Muscat, Oman",Muscat,Oman,23.588635,58.574393,https://www.google.com/maps/place/?q=place_id:ChIJw8_2cQD3kT4RNF6oSdF6uW8,https://www.google.com/maps/place/?q=place_id:ChIJw8_2cQD3kT4RNF6oSdF6uW8,+968 9599 9878,https://www.google.com/maps/place/?q=place_id:ChIJw8_2cQD3kT4RNF6oSdF6uW8,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H_5m1NqukHGPCaxMXQG5Ug&cb_client=search.gws-prod.gps&w=900&h=900&yaw=15.396523&pitch=0&thumbfov=100,,,,,Auto repair shop,Auto repair shop,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJWWvGcMTnjT4RCp1N3PHXSPk,ahmad-auto-garage,Ahmad Auto garage,Garages,,garage;car repair;mechanic,,"Ma'abilah Industrial Area, Seeb 122, Oman",Muscat,Oman,23.636345,58.097913,https://www.google.com/maps/place/?q=place_id:ChIJWWvGcMTnjT4RCp1N3PHXSPk,https://www.google.com/maps/place/?q=place_id:ChIJWWvGcMTnjT4RCp1N3PHXSPk,+968 9512 4351,https://www.google.com/maps/place/?q=place_id:ChIJWWvGcMTnjT4RCp1N3PHXSPk,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipPyhq4ek0ZewX9Co8Cw4p6_dUxfqLYetdCPiASb=w900-h900-p-k-no,,,,,★★★★★ · Auto electrical service,★★★★★ · Auto electrical service,,,,,,4.80,,,,,,88,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJW1aBMwD5kT4Rw273w7wTUGE,akhter-auto-electrician,Akhter auto electrician,Garages,,garage;car repair;mechanic,,"876 6508 Way, Muscat, Oman",Muscat,Oman,23.589002,58.554336,https://www.google.com/maps/place/?q=place_id:ChIJW1aBMwD5kT4Rw273w7wTUGE,https://www.google.com/maps/place/?q=place_id:ChIJW1aBMwD5kT4Rw273w7wTUGE,+968 9677 0614,https://www.google.com/maps/place/?q=place_id:ChIJW1aBMwD5kT4Rw273w7wTUGE,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nodUR8-8o4tOiTHis5foduE7ft7Tmqzil1Bgrtzh1fze6XL_UQZ3q6NyGGpW31EtdLHFRM59rFCW9HKt0HUa6yBqwE04RL-HhixiM3JiE7JddQIVdQebHGd48mbaoVoXNtelaILMMui-0v8=w900-h900-p-k-no,,,,,★★★☆☆ · Auto electrical service,★★★☆☆ · Auto electrical service,,,,,,3.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJhXKAIQD_kT4R57nz4JPrHlo,al-asma-trading,Al Asma Trading,Garages,,garage;car repair;mechanic,,"HCPC+MP2, Muscat, Oman",Muscat,Oman,23.586644,58.421763,https://www.google.com/maps/place/?q=place_id:ChIJhXKAIQD_kT4R57nz4JPrHlo,https://www.google.com/maps/place/?q=place_id:ChIJhXKAIQD_kT4R57nz4JPrHlo,,https://www.google.com/maps/place/?q=place_id:ChIJhXKAIQD_kT4R57nz4JPrHlo,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://maps.google.com/maps/api/staticmap?center=23.5866436%2C58.4217628&zoom=16&size=900x900&language=en&markers=23.5866436%2C58.4217628&sensor=false&client=google-maps-frontend&signature=QhFwnK66avG-1GxSzhSNgg1lr_o,,,,,Auto repair shop,Auto repair shop,,,,,,,,,,,,,,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJu7DUdbL3kT4R8YYQKH9MWCE,al-saqia-tyre-shop,Al Saqia - Tyre Shop,Garages,,garage;car repair;mechanic,,"Opposite Al Khalili, Muscat 117, Oman",Muscat,Oman,23.588353,58.558374,https://www.google.com/maps/place/?q=place_id:ChIJu7DUdbL3kT4R8YYQKH9MWCE,https://www.google.com/maps/place/?q=place_id:ChIJu7DUdbL3kT4R8YYQKH9MWCE,+968 7820 7832,https://www.google.com/maps/place/?q=place_id:ChIJu7DUdbL3kT4R8YYQKH9MWCE,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipNhPFIN8zMsIlVN-eSjuZikfF0gXKbze6X81OM=w900-h900-p-k-no,,,,,★★★★★ · Tire repair shop,★★★★★ · Tire repair shop,,,,,,5.00,,,,,,4,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJKznlu-33kT4RPSabABzxM5w,al-tazaman-vehicle-repair,Al Tazaman vehicle repair,Garages,,garage;car repair;mechanic,,"HHR7+MQX, Muscat, Oman",Muscat,Oman,23.591731,58.564582,https://www.google.com/maps/place/?q=place_id:ChIJKznlu-33kT4RPSabABzxM5w,https://www.google.com/maps/place/?q=place_id:ChIJKznlu-33kT4RPSabABzxM5w,+968 7861 7793,https://www.google.com/maps/place/?q=place_id:ChIJKznlu-33kT4RPSabABzxM5w,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mf3eN2spdEwxIys2jD2ViQ&cb_client=search.gws-prod.gps&w=900&h=900&yaw=342.66217&pitch=0&thumbfov=100,,,,,★★★★★ · Auto repair shop,★★★★★ · Auto repair shop,,,,,,5.00,,,,,,1,Google,,2025-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,
