id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,maps_url,website,phone,url,logo_url,hero_url,image_credit,image_source_url,hours_raw,description,about_short,about_long,price_range,pricing,amenities,cuisines,meals,rating_overall,sub_food_quality,sub_service,sub_ambience,sub_value,sub_accessibility,review_count,review_source,review_insight,last_updated,services,response_time,service_area,emergency_hours,warranty,inspection_fee,whatsapp,booking_url,contact_url,open_24h,plumbing,electrical,ac_service,painting,locksmith,roofing,pest_control,cleaning,handyman,carpentry,masonry,appliance_repair,waterproofing,solar,approx_price_min,approx_price_max
ChIJi54VBoH5kT4RIXd3MEqURlk,ac-repair-sale-and-purchase,"AC Repair, Sale And Purchase",Home Maintenance and Repair,,home repair;maintenance;services,,"Village, Muscat, Oman",Muscat,Oman,23.59196,58.543391,https://www.google.com/maps/place/?q=place_id:ChIJi54VBoH5kT4RIXd3MEqURlk,https://www.google.com/maps/place/?q=place_id:ChIJi54VBoH5kT4RIXd3MEqURlk,+968 9212 0038,https://www.google.com/maps/place/?q=place_id:ChIJi54VBoH5kT4RIXd3MEqURlk,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsL0Svr9H67ixigsLHUP72PHg9cSv3TaPhIb7ZHWabZ0uUt_5Kcv_0c8JcYPpZxwlIEnH2enfg33gjre85qeSx8RWFxyvFGBn9MdUpO0r7_QKVyFTukKn23CK9c_bYOO8yfVSX0iCURJet=w900-h900-p-k-no,,,,,★★★★★ · Air conditioning repair service,★★★★★ · Air conditioning repair service,,,,,,4.9,,,,,,10,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJn4tfgALnjT4RCPhtC2MSfE0,ac-service,AC service الرتاج للمشاريع صيانة المكيفات,Home Maintenance and Repair,,home repair;maintenance;services,,"Muscat 132, Oman",Muscat,Oman,23.627515,58.197007,https://www.google.com/maps/place/?q=place_id:ChIJn4tfgALnjT4RCPhtC2MSfE0,https://www.google.com/maps/place/?q=place_id:ChIJn4tfgALnjT4RCPhtC2MSfE0,+968 9497 5838,https://www.google.com/maps/place/?q=place_id:ChIJn4tfgALnjT4RCPhtC2MSfE0,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://maps.google.com/maps/api/staticmap?center=23.6275145%2C58.1970065&zoom=16&size=900x900&language=en&markers=23.6275145%2C58.1970065&sensor=false&client=google-maps-frontend&signature=NZ_G1w0S0VDkFPXOh6yUjlrAp30,,,,,Electrical installation service,Electrical installation service,,,,,,,,,,,,,,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJXwkcG0P7kT4Rtl5GCs5L4AU,al-bahrani-key-shop-al-amarat,AL BAHRANI KEY SHOP AL AMARAT,Home Maintenance and Repair,,home repair;maintenance;services,,"shabia, Muscat 119, Oman",Muscat,Oman,23.495885,58.500235,https://www.google.com/maps/place/?q=place_id:ChIJXwkcG0P7kT4Rtl5GCs5L4AU,https://wa.me/message/55JSUZKYYXPKF1,+968 9484 4884,https://wa.me/message/55JSUZKYYXPKF1,https://www.google.com/s2/favicons?domain=wa.me&sz=128,https://pps.whatsapp.net/v/t61.24694-24/464874865_543154995137054_5875612585249618273_n.jpg?ccb=11-4&oh=01_Q5Aa2gEkKoveuglz6Y9F1urCVwMv15ow7wut3oxnIJOL3kKCuQ&oe=68E52AB4&_nc_sid=5e03e0&_nc_cat=103,,,,,Business Account,"Business Account Get help with anything, all with the safety and privacy on WhatsApp.",,,,,,4.1,,,,,,19,Google,,10/4/2025,appliance repair,,,,,,,,https://www.whatsapp.com/contact,,,,,,,,,,,,,Yes,,,,
ChIJ4TFUXhv_kT4RRSYtB2sWIeM,al-musamem-hvac-contracting-company,AL MUSAMEM HVAC CONTRACTING COMPANY,Home Maintenance and Repair,,home repair;maintenance;services,,"Flat no 44, 4th,floor, Awfaith Building, Safath Street, Way No 3201, North Ghubrah, مسقط 289, Oman",Muscat,Oman,23.592199,58.402815,https://www.google.com/maps/place/?q=place_id:ChIJ4TFUXhv_kT4RRSYtB2sWIeM,https://almusamemoman.com/,+968 9750 8035,https://almusamemoman.com/,https://www.google.com/s2/favicons?domain=almusamemoman.com&sz=128,https://www.omanobserver.om/omanobserver/uploads/images/2025/03/18/2958648.jpg,,,,,,"Al Musamem Engineering and Contracting LLC, based in Oman, is a trusted leader in the field of mechanical, electrical, plumbing, civil, and HVAC services. With a steadfast commitment to excellence, we deliver innovative solutions tailored to meet the diverse needs of our clients across various industries. Our dedicated team of professionals brings extensive expertise and technical know-how to every project, ensuring the highest standards of quality and efficiency. From conceptualization to execution, we prioritize client satisfaction, safety, and sustainability, striving to exceed expectations in every endeavor. At Al Musamem Engineering and…",,,,,,4.6,,,,,,7,Google,,10/4/2025,AC service;appliance repair;electrical;plumbing,,,,,,,,https://almusamemoman.com/index.php/contact-us/,,Yes,Yes,Yes,,,,,,,,,Yes,,,,
ChIJQaanZQD5kT4RF1V1J1OwhrM,al-murtafa-professional-house-painting,AL Murtafa professional house painting,Home Maintenance and Repair,,home repair;maintenance;services,,"HGQV+4W7, 4547 Way, Muscat, Oman",Muscat,Oman,23.587795,58.544782,https://www.google.com/maps/place/?q=place_id:ChIJQaanZQD5kT4RF1V1J1OwhrM,https://www.google.com/maps/place/?q=place_id:ChIJQaanZQD5kT4RF1V1J1OwhrM,+968 9934 1152,https://www.google.com/maps/place/?q=place_id:ChIJQaanZQD5kT4RF1V1J1OwhrM,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1Ay0wpAzy57a28xoRhRl5cYmljbVz93_sB6SrfLLnDhqm0VpaKycOIsD2qV9Rg_Vnc-kdR0xiVwAzRSIx42Xo-Vc4JvuGkgGzxTauq1ulyI0WKkKeFFvCvV7T4v3ItdJo78vkRQ=w900-h900-p-k-no,,,,,★★★★★ · Painter,★★★★★ · Painter,,,,,,4.5,,,,,,2,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJY1HIXV7_kT4RPGU_AiKXsDg,arkan-al-mumayza,ARKAN AL MUMAYZA,Home Maintenance and Repair,,home repair;maintenance;services,,"1, مسقط 000, Oman",Muscat,Oman,23.596728,58.415913,https://www.google.com/maps/place/?q=place_id:ChIJY1HIXV7_kT4RPGU_AiKXsDg,https://www.google.com/maps/place/?q=place_id:ChIJY1HIXV7_kT4RPGU_AiKXsDg,+968 7889 5539,https://www.google.com/maps/place/?q=place_id:ChIJY1HIXV7_kT4RPGU_AiKXsDg,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipMHy-faFrKBuLsFpa9mCcH5aYLmvQ9orNnVawpI=w900-h900-p-k-no,,,,,Painter,Painter,,,,,,,,,,,,,,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJXYLwFZ_9jT4RrP2eydxClRg,ac-technician-and-electrician-plumber,Ac technician and electrician plumber,Home Maintenance and Repair,,home repair;maintenance;services,,"Al Mawaleh South, Seeb 121, Oman",Muscat,Oman,23.60602,58.213084,https://www.google.com/maps/place/?q=place_id:ChIJXYLwFZ_9jT4RrP2eydxClRg,https://www.google.com/maps/place/?q=place_id:ChIJXYLwFZ_9jT4RrP2eydxClRg,+968 9703 3912,https://www.google.com/maps/place/?q=place_id:ChIJXYLwFZ_9jT4RrP2eydxClRg,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://lh3.googleusercontent.com/p/AF1QipONhJBohOg_lIlNZord8wUvhfyEWMCyMeAjiXqY=w900-h900-p-k-no,,,,,★★★★★ · Electrician,★★★★★ · Electrician,,,,,,5,,,,,,4,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJQ8Mf9EfnjT4ROQADIFtXwEI,adore-interiors,Adore Interiors,Home Maintenance and Repair,,home repair;maintenance;services,,"M34W+QF5, Seeb, Oman",Muscat,Oman,23.656879,58.096249,https://www.google.com/maps/place/?q=place_id:ChIJQ8Mf9EfnjT4ROQADIFtXwEI,https://www.google.com/maps/place/?q=place_id:ChIJQ8Mf9EfnjT4ROQADIFtXwEI,,https://www.google.com/maps/place/?q=place_id:ChIJQ8Mf9EfnjT4ROQADIFtXwEI,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ek2yKfhWFhaAPnUUpAnRJw&cb_client=search.gws-prod.gps&w=900&h=900&yaw=299.5916&pitch=0&thumbfov=100,,,,,★★★★★ · Painter,★★★★★ · Painter,,,,,,5,,,,,,1,Google,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJE_LBMNX9jT4RstdLkLn_xMI,afshar-khan,Afshar khan,Home Maintenance and Repair,,home repair;maintenance;services,,"J5HV+8XX, Al Khoudh St, Sib, Oman",Muscat,Oman,23.628359,58.194972,https://www.google.com/maps/place/?q=place_id:ChIJE_LBMNX9jT4RstdLkLn_xMI,https://www.google.com/maps/place/?q=place_id:ChIJE_LBMNX9jT4RstdLkLn_xMI,,https://www.google.com/maps/place/?q=place_id:ChIJE_LBMNX9jT4RstdLkLn_xMI,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CP48j9I6T1yFi5lOvZiGxQ&cb_client=search.gws-prod.gps&w=900&h=900&yaw=304.8969&pitch=0&thumbfov=100,,,,,Plumber,Plumber,,,,,,,,,,,,,,,10/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJeezmNbP9jT4R9xnigzeT0vY,al-ayidrous-engineering-cont-co,Al Ayidrous Engineering & Cont. Co. العيدروس للهندسة و المقاولات,Home Maintenance and Repair,,home repair;maintenance;services,,"Grand Mosque St, Muscat, Oman",Muscat,Oman,23.58315,58.37226,https://www.google.com/maps/place/?q=place_id:ChIJeezmNbP9jT4R9xnigzeT0vY,http://www.aaecco.com/,+968 24 112940,http://www.aaecco.com/,https://www.google.com/s2/favicons?domain=www.aaecco.com&sz=128,"https://static.wixstatic.com/media/959574_0a898c6572a942f5a52f8a319e8c0198~mv2_d_3264_2448_s_4_2.jpg/v1/fill/w_300,h_226,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/959574_0a898c6572a942f5a52f8a319e8c0198~mv2_d_3264_2448_s_4_2.jpg",,,,,MEP Contractor | Civil | Mechanical | Electrical | Al Ayidrous Engineering & Contracting Co. | Oman,MEP Contractor | Civil | Mechanical | Electrical | Al Ayidrous Engineering & Contracting Co. | Oman We have a team of well trained technicians who are competent to work on any pipeline projects and hand over the project on time.,,,,,,5,,,,,,2,Google,,10/4/2025,electrical;plumbing;solar,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,
