id,slug,name,category,tagline,tags,neighborhood,address,city,country,lat,lng,website,phone,maps_url,hours_raw,logo_url,hero_url,image_credit,image_source_url,place_id,osm_type,osm_id,wikidata_id,url,price_range,busyness_hint,about_short,about_long,amenities
ChIJtUARVOf_kT4Rcpzj5oV0NDo,azaiba-mall,(Azaiba Mall),Malls,,mall;shopping;retail,,"Sultan Qaboos St, Muscat 130, Oman",Muscat,Oman,23.590355,58.377590,https://www.google.com/maps/place/?q=place_id:ChIJtUARVOf_kT4Rcpzj5oV0NDo,+968 7920 0040,https://www.google.com/maps/place/?q=place_id:ChIJtUARVOf_kT4Rcpzj5oV0NDo,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJtUARVOf_kT4Rcpzj5oV0NDo,,,,https://www.google.com/maps/place/?q=place_id:ChIJtUARVOf_kT4Rcpzj5oV0NDo,,,,,
ChIJlZRxNzf7kT4Rywlr0MsZZgA,alsafinat-shopping-centre,ALSAFINAT Shopping Centre,Malls,,mall;shopping;retail,,"FFGR+CCG, Al Amarat, Oman",Muscat,Oman,23.476057,58.491063,https://www.google.com/maps/place/?q=place_id:ChIJlZRxNzf7kT4Rywlr0MsZZgA,,https://www.google.com/maps/place/?q=place_id:ChIJlZRxNzf7kT4Rywlr0MsZZgA,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJlZRxNzf7kT4Rywlr0MsZZgA,,,,https://www.google.com/maps/place/?q=place_id:ChIJlZRxNzf7kT4Rywlr0MsZZgA,,,,,
ChIJm6a_FQr9jT4RzKcoOUJkmPs,aflak-shopping-center,Aflak Shopping Center,Malls,,mall;shopping;retail,,"J57X+XVJ, Al Mazoon St, Sib, Oman",Muscat,Oman,23.614963,58.199635,https://www.google.com/maps/place/?q=place_id:ChIJm6a_FQr9jT4RzKcoOUJkmPs,+968 9509 0902,https://www.google.com/maps/place/?q=place_id:ChIJm6a_FQr9jT4RzKcoOUJkmPs,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJm6a_FQr9jT4RzKcoOUJkmPs,,,,https://www.google.com/maps/place/?q=place_id:ChIJm6a_FQr9jT4RzKcoOUJkmPs,,,,,
ChIJNQPLTDTljT4RMcKkFul0ZBk,al-araimi-boulevard,Al Araimi Boulevard,Malls,,mall;shopping;retail,,"Al Araimi Boulevard, Al seeb, مسقط، Oman",Muscat,Oman,23.656426,58.183434,http://www.ablvd.com/,,https://www.google.com/maps/place/?q=place_id:ChIJNQPLTDTljT4RMcKkFul0ZBk,,https://www.google.com/s2/favicons?domain=www.ablvd.com&sz=128,,,,ChIJNQPLTDTljT4RMcKkFul0ZBk,,,,http://www.ablvd.com/,,,,,
ChIJHUiSS9f5kT4Ra2ZAmmL5xzM,al-baraka-hypermarket,Al Baraka Hypermarket,Malls,,mall;shopping;retail,,"Souq Ruwi St, Muscat, Oman",Muscat,Oman,23.586375,58.545908,https://www.google.com/maps/place/?q=place_id:ChIJHUiSS9f5kT4Ra2ZAmmL5xzM,+968 9593 1110,https://www.google.com/maps/place/?q=place_id:ChIJHUiSS9f5kT4Ra2ZAmmL5xzM,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJHUiSS9f5kT4Ra2ZAmmL5xzM,,,,https://www.google.com/maps/place/?q=place_id:ChIJHUiSS9f5kT4Ra2ZAmmL5xzM,,,,,
ChIJMaSQFRL7kT4RoKB7zSzDHj4,al-ehsan-shopping-center,Al Ehsan shopping center,Malls,,mall;shopping;retail,,"FFWR+W49, Al Amarat, Oman",Muscat,Oman,23.497279,58.490356,https://www.google.com/maps/place/?q=place_id:ChIJMaSQFRL7kT4RoKB7zSzDHj4,+968 24 241408,https://www.google.com/maps/place/?q=place_id:ChIJMaSQFRL7kT4RoKB7zSzDHj4,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJMaSQFRL7kT4RoKB7zSzDHj4,,,,https://www.google.com/maps/place/?q=place_id:ChIJMaSQFRL7kT4RoKB7zSzDHj4,,,,,
ChIJdQnbBL7_kT4RjJIGoew6P-c,al-ezz-shopping-center,Al Ezz Shopping Center,Malls,,mall;shopping;retail,,"H9VX+RR3، سكة 3208، Muscat, Oman",Muscat,Oman,23.594523,58.399533,https://www.google.com/maps/place/?q=place_id:ChIJdQnbBL7_kT4RjJIGoew6P-c,+968 24 499562,https://www.google.com/maps/place/?q=place_id:ChIJdQnbBL7_kT4RjJIGoew6P-c,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJdQnbBL7_kT4RjJIGoew6P-c,,,,https://www.google.com/maps/place/?q=place_id:ChIJdQnbBL7_kT4RjJIGoew6P-c,,,,,
ChIJccSvm_r4kT4R5p5HptESrII,al-harthy-complex,Al Harthy Complex,Malls,,mall;shopping;retail,,"JG42+V3H, Unnamed Road, Muscat, Oman",Muscat,Oman,23.607184,58.500231,https://www.google.com/maps/place/?q=place_id:ChIJccSvm_r4kT4R5p5HptESrII,,https://www.google.com/maps/place/?q=place_id:ChIJccSvm_r4kT4R5p5HptESrII,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJccSvm_r4kT4R5p5HptESrII,,,,https://www.google.com/maps/place/?q=place_id:ChIJccSvm_r4kT4R5p5HptESrII,,,,,
ChIJVWSIMLn8jT4RDWgHaEteSSE,al-khodh-center,Al Khodh Center,Malls,,mall;shopping;retail,,"الخوض سنتر، Al Barakat St, Muscat, Oman",Muscat,Oman,23.639602,58.205576,https://www.google.com/maps/place/?q=place_id:ChIJVWSIMLn8jT4RDWgHaEteSSE,+968 9406 6633,https://www.google.com/maps/place/?q=place_id:ChIJVWSIMLn8jT4RDWgHaEteSSE,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJVWSIMLn8jT4RDWgHaEteSSE,,,,https://www.google.com/maps/place/?q=place_id:ChIJVWSIMLn8jT4RDWgHaEteSSE,,,,,
ChIJAQqMQsL8jT4RjrjotvDH4t4,al-khoudh-shopping-centre,Al Khoudh Shopping Centre الخوض للتسوق,Malls,,mall;shopping;retail,,"J6J6+26G, Seeb, Oman",Muscat,Oman,23.630055,58.210580,https://www.google.com/maps/place/?q=place_id:ChIJAQqMQsL8jT4RjrjotvDH4t4,+968 24 188383,https://www.google.com/maps/place/?q=place_id:ChIJAQqMQsL8jT4RjrjotvDH4t4,,https://www.google.com/s2/favicons?domain=www.google.com&sz=128,,,,ChIJAQqMQsL8jT4RjrjotvDH4t4,,,,https://www.google.com/maps/place/?q=place_id:ChIJAQqMQsL8jT4RjrjotvDH4t4,,,,,
